desc::ip_xmin,desc::ip_xmax,desc::ip_duration,duration,ip_label,speaker,discourse_function,desc::HGS1_transcrkr,desc::HYJ1_transcrkr,desc::SUK1_transcrkr
110.455654,114.6526806,4.197026608,long,overlap,NA,NA,NA,"그러게 쭈- 이제 기냥 다 늙은 사름. 나이 우리집이 조근 애기네 아방이 당놋벵 걸령 옛날에 잇일 때 헤낫주 허민 난,",남아잇젠 허는 소리 아니꽈.
114.7617642,115.9341717,1.172407463,mid,hyj,hyj,statement,NA,"나이 우리집이 조근 애기네 아방이 당놋벵 걸령 옛날에 잇일 때 헤낫주 허민 난,",NA
116.2471943,116.4131911,0.165996826,short,suk,suk,backchannel,NA,NA,음.
116.8400401,117.9815662,1.141526124,mid,hyj,hyj,statement,NA,지 ㄱ.찌 누엇인디  그 우리 조근에기네 아방은 아니 물구 나만 물엉 겅허멘.,NA
117.9815662,118.5696693,0.588103041,short,hyj,hyj,hedge,NA,지 ㄱ.찌 누엇인디  그 우리 조근에기네 아방은 아니 물구 나만 물엉 겅허멘.,NA
118.5696693,121.235104,2.665434751,long,hyj,hyj,statement,NA,지 ㄱ.찌 누엇인디  그 우리 조근에기네 아방은 아니 물구 나만 물엉 겅허멘.,NA
121.235104,121.661953,0.426848982,short,hyj,hyj,sum,NA,지 ㄱ.찌 누엇인디  그 우리 조근에기네 아방은 아니 물구 나만 물엉 겅허멘.,NA
121.872845,122.0720412,0.199196191,short,hgs,NA,NA,메.,NA,NA
122.6364304,125.3945344,2.75810402,long,hyj,hyj,quote,맛디 가민 우리 000 아방은 아니 무는디 나만 경 무는거라.,"아니 어ㄸ- 어떵 헤난 겅 당신만 물엄신 헤난에,",NA
125.4379248,126.3627642,0.92483946,mid,hgs,hgs,statement,맛디 가민 우리 000 아방은 아니 무는디 나만 경 무는거라.,"아니 어ㄸ- 어떵 헤난 겅 당신만 물엄신 헤난에,",NA
126.6425875,128.9899351,2.347347688,long,overlap,NA,NA,맛디 가민 우리 000 아방은 아니 무는디 나만 경 무는거라.,곡다기. ㄲ.ㄱ다기.,NA
128.9899351,129.5068967,0.516961544,short,hyj,NA,NA,맛디 가민 우리 000 아방은 아니 무는디 나만 경 무는거라.,ㄲ.ㄱ다기.,NA
129.6064948,130.4601927,0.853697963,mid,hgs,hgs,other,"경헨게이,",NA,NA
130.8490996,132.3581365,1.509036906,long,hgs,hgs,statement,"암 딱 걸리니까  암은 거난 혈액암 이잖아, 암은 걸리니깐 그게 꺼꾸루더라.",NA,NA
132.8086993,134.2078154,1.399116106,long,hgs,hgs,statement,"암 딱 걸리니까  암은 거난 혈액암 이잖아, 암은 걸리니깐 그게 꺼꾸루더라.",NA,NA
134.576,136.5314493,1.955449279,long,hgs,hgs,statement,"암 딱 걸리니까  암은 거난 혈액암 이잖아, 암은 걸리니깐 그게 꺼꾸루더라.",NA,NA
137.6659146,139.1930854,1.527170801,long,hgs,hgs,other,아방신디만 물레 가구 난 안가는 거라.,NA,NA
139.4918797,140.1073664,0.615486743,short,hgs,hgs,statement,아방신디만 물레 가구 난 안가는 거라.,NA,NA
140.3775515,141.0996775,0.722126025,mid,hyj,hyj,other,NA,"거난야 난, 저 당신안띠는 당놋벵 걸려시카부덴 모기두 안가는 셍이어 나신디만 와근에 이제.",NA
141.5569792,142.0786835,0.521704311,short,hyj,hyj,hedge,NA,"거난야 난, 저 당신안띠는 당놋벵 걸려시카부덴 모기두 안가는 셍이어 나신디만 와근에 이제.",NA
142.1308539,142.9039248,0.773070933,mid,hyj,hyj,quote,NA,"거난야 난, 저 당신안띠는 당놋벵 걸려시카부덴 모기두 안가는 셍이어 나신디만 와근에 이제.",NA
142.9655808,144.3716499,1.406069139,long,hyj,hyj,quote,NA,"거난야 난, 저 당신안띠는 당놋벵 걸려시카부덴 모기두 안가는 셍이어 나신디만 와근에 이제.",NA
144.3716499,146.5960074,2.22435747,long,hyj,hyj,quote,NA,"거난야 난, 저 당신안띠는 당놋벵 걸려시카부덴 모기두 안가는 셍이어 나신디만 와근에 이제.",NA
147.2348003,148.7619711,1.527170801,long,hyj,hyj,statement,NA,경허멍 막 헤나수다게.,NA
150.2804935,150.6409438,0.360450251,short,hyj,hgs,other,NA,아이유 모기거치 ㅇ..ㄱ은 거 모기안삐 우리 지엉 사는 거라 우리가.,NA
150.6409438,151.7554939,1.114550118,mid,hyj,hgs,opinion,NA,아이유 모기거치 ㅇ..ㄱ은 거 모기안삐 우리 지엉 사는 거라 우리가.,NA
151.7554939,153.8138545,2.058360644,long,hyj,hgs,opinion,NA,아이유 모기거치 ㅇ..ㄱ은 거 모기안삐 우리 지엉 사는 거라 우리가.,NA
154.0794495,154.4398997,0.360450251,short,hgs,hgs,backchannel,게.,NA,NA
154.5205267,155.314672,0.79414529,mid,overlap,NA,NA,NA,"모기안삐, 진짜.",NA
155.6182091,156.0071159,0.38890685,short,hyj,hyj,other,NA,"모기안삐, 진짜.",NA
156.6189328,157.7509734,1.132040591,mid,hyj,hyj,statement,NA,쥐- 잡지두 못헤곡 기냥 ㅇ.씩 물어뒁 어디강 고바불국 쥐새끼거찌룩 고냥으루만 뎅기멍...,NA
157.8316004,158.2205073,0.38890685,short,hyj,hyj,statement,NA,쥐- 잡지두 못헤곡 기냥 ㅇ.씩 물어뒁 어디강 고바불국 쥐새끼거찌룩 고냥으루만 뎅기멍...,NA
158.2205073,159.9373887,1.716881459,long,hyj,hyj,statement,NA,쥐- 잡지두 못헤곡 기냥 ㅇ.씩 물어뒁 어디강 고바불국 쥐새끼거찌룩 고냥으루만 뎅기멍...,NA
160.6780975,161.4701395,0.792041999,mid,hyj,hyj,statement,NA,쥐- 잡지두 못헤곡 기냥 ㅇ.씩 물어뒁 어디강 고바불국 쥐새끼거찌룩 고냥으루만 뎅기멍...,NA
161.541281,162.7744003,1.23311928,mid,hyj,hyj,statement,NA,쥐- 잡지두 못헤곡 기냥 ㅇ.씩 물어뒁 어디강 고바불국 쥐새끼거찌룩 고냥으루만 뎅기멍...,NA
163.3862171,163.776,0.389782868,short,suk,suk,agree,NA,NA,"허난에,"
164.2256868,165.0366999,0.811013065,mid,hyj,hyj,apprec,NA,으이그...,NA
168.8221574,169.1636366,0.341479185,short,suk,suk,apprec,NA,NA,참.
170.2544729,171.1840551,0.929582226,mid,suk,suk,other,NA,NA,"헌디 건디 올리가 덜 덜 어-, 무시거?"
171.5207915,172.4583787,0.937587166,mid,suk,suk,other,NA,NA,"헌디 건디 올리가 덜 덜 어-, 무시거?"
173.0701956,173.7768678,0.706672203,mid,suk-repairs,NA,NA,NA,NA,"헌디 건디 올리가 덜 덜 어-, 무시거?"
173.8812087,174.2511444,0.369935784,short,suk-repairs,NA,NA,NA,NA,"헌디 건디 올리가 덜 덜 어-, 무시거?"
174.8674896,175.3038241,0.436334514,short,suk,suk,self_talk,NA,NA,"헌디 건디 올리가 덜 덜 어-, 무시거?"
176.3377472,177.1215007,0.783753444,mid,suk,suk,abandon,NA,으이그 으이그 보라 모기!,올리가 덜 얼-
177.1314857,177.8658624,0.734376699,mid,hyj,hyj,directive,NA,으이그 으이그 보라 모기!,올리가 덜 얼-
178.8177851,178.9742964,0.156511293,short,suk,NA,NA,NA,NA,"어, 저디 잇인게,  저 저 저  차- 상에, 상에."
179.0928656,179.6003416,0.507476011,short,suk,suk,statement,NA,NA,"어, 저디 잇인게,  저 저 저  차- 상에, 상에."
179.7758239,180.9852294,1.209405448,mid,suk-repairs,NA,NA,NA,NA,"어, 저디 잇인게,  저 저 저  차- 상에, 상에."
181.8294418,182.5348832,0.705441361,mid,overlap,suk,wh_q,NA,어떵헹 잡을거니?,저 이거 어디간거?
182.5395428,184.3843124,1.844769551,long,overlap,NA,NA,눈덜도 ㅂ.ㄺ으다 나는 상이랑 말앙 아무것도 못 보암ㅅ저.,어떵헹 잡을거니?,저 이거 어디간거?
184.3843124,187.0708212,2.686508847,long,overlap,NA,NA,눈덜도 ㅂ.ㄺ으다 나는 상이랑 말앙 아무것도 못 보암ㅅ저.,NA,저기 상에.
187.440757,187.9434902,0.502733245,short,hyj,hyj,yn_q,NA,붙엇어?,NA
188.1474292,188.3513681,0.203938958,short,suk,suk,yes,NA,NA,"예 부ㄸ언, 이거 어떵 헹..."
188.4130241,188.7639888,0.350964718,short,suk,suk,affirm,NA,NA,"예 부ㄸ언, 이거 어떵 헹..."
189.0658331,189.2913419,0.225508842,short,suk,suk,abandon,팍 두들라게!,NA,"예 부ㄸ언, 이거 어떵 헹..."
189.2945792,189.9530429,0.658463689,mid,hgs,hgs,directive,팍 두들라게!,NA,"예 부ㄸ언, 이거 어떵 헹..."
189.9833084,190.9701052,0.986796795,mid,hyj,hyj,abandon,NA,ㅍ.리체 잇엇이민...,NA
191.7418027,193.055549,1.31374631,long,hgs,hgs,statement,물 안솓아진다게 다 두들 건 두들어라.,NA,NA
193.3258867,194.2886683,0.962781592,mid,hgs,hgs,statement,물 안솓아진다게 다 두들 건 두들어라.,NA,NA
194.7202601,195.024,0.303739922,short,suk,suk,other,NA,NA,어이 영 두들믄 그냥 가비는디...
195.189794,196.7273947,1.537600742,long,suk,suk,statement,NA,NA,어이 영 두들믄 그냥 가비는디...
196.8080217,197.3344688,0.526447077,short,hyj,hyj,backchannel_q,NA,저거?,NA
197.4862373,197.7708033,0.284565988,short,suk,suk,affirm,NA,NA,저거.
199.0534536,200.3719426,1.318489076,long,overlap,NA,NA,NA,아이구 에 에 에!,저 헤 헤! 간게!
200.8462193,201.9797405,1.133521184,mid,overlap,NA,NA,NA,어여 이 ㄴ.ㄹ아뎅겸ㅅ어!,NA
202.3212196,202.7338403,0.412620682,short,suk,suk,other,NA,NA,이런!
204.8829362,205.1627595,0.279823221,short,hyj,NA,NA,NA,아야 방 ㄸ.ㅅ아부난이?,NA
205.1627595,206.4243353,1.261575879,mid,hyj,hyj,yn_q,NA,아야 방 ㄸ.ㅅ아부난이?,NA
207.1474461,207.9157743,0.768328167,mid,hyj,hyj,yn_q,NA,거 모기냐?,NA
208.7220446,209.9646494,1.242604813,mid,hyj,hyj,opinion,NA,ㅍ.리체 잇엇이믄 기냥 칵!,이거 그 어디 간거마씀?
209.9646494,211.9171883,1.952538927,long,overlap,NA,NA,NA,"ㅍ.리체 잇엇이믄 기냥 칵! 책이라도 떼리-, 책.",이거 그 어디 간거마씀?
212.187526,213.3068189,1.119292885,mid,suk,suk,wh_q,NA,NA,삼춘 그거 어디간거?
214.2774982,215.0695402,0.792041999,mid,suk,suk,other,NA,NA,징징거리는거.
215.3256496,216.5635116,1.237862046,mid,hgs,hgs,answer,저디 걸어져실거여 밖에.,NA,걸어젼?
216.6299103,218.0479975,1.418087172,long,overlap,NA,NA,저디 걸어져실거여 밖에.,어유 모기 모기.,걸어젼?
218.2756503,218.991808,0.716157736,mid,hyj,hyj,statement,NA,그거 모기.,NA
219.5547167,220.6313246,1.076607987,mid,hyj,hyj,statement,NA,어 요짝이 거 모기다.,NA
221.6273056,223.9829799,2.355674338,long,hyj,hjy,opinion,NA,아이구야 ㄴ.ㄹ아뎅- ㄸ.ㅅ아부난이 방안네이.,NA
224.1774334,224.6706811,0.493247712,short,hgs,hgs,abandon,"게난 딜어 완,",NA,NA
224.8793628,225.608,0.728637202,mid,hgs,hgs,abandon,"게난 딜어 완,",NA,NA
225.9721951,227.0535459,1.081350753,mid,suk,suk,other,NA,NA,"딱 알아그넹에, 얄미운 거."
227.1484012,227.8693017,0.720900502,mid,suk,suk,opinion,NA,NA,"딱 알아그넹에, 얄미운 거."
228.8605399,230.321312,1.46077207,long,overlap,NA,NA,NA,하 하 하.,"아유 이걸 ㅇ..ㄱ아그네 나 뮈시거  영 죽이-, 음마!"
230.4443022,230.6956688,0.251366622,short,suk,suk,other,NA,NA,"아유 이걸 ㅇ..ㄱ아그네 나 뮈시거  영 죽이-, 음마!"
230.8094952,231.1604599,0.350964718,short,suk,suk,other,NA,NA,"아유 이걸 ㅇ..ㄱ아그네 나 뮈시거  영 죽이-, 음마!"
231.7912479,232.7208301,0.929582226,mid,suk,suk,other,NA,NA,"아유 이걸 ㅇ..ㄱ아그네 나 뮈시거  영 죽이-, 음마!"
233.1334508,233.3136759,0.180225126,short,suk,suk,apprec,NA,NA,"아유 이걸 ㅇ..ㄱ아그네 나 뮈시거  영 죽이-, 음마!"
234.39713,234.9615192,0.564389209,short,suk,suk,self_talk,NA,NA,어떵된거라?
235.208143,236.2136095,1.00546649,mid,hgs,hgs,statement,또 큼 소리 낫저.,NA,NA
237.1476125,237.6598313,0.512218778,short,suk,suk,no,NA,NA,아니우다.
237.8542847,238.1673073,0.313022586,short,overlap,NA,NA,부ㄸ-,NA,NA
239.4241404,240.0691567,0.645016239,short,suk,suk,statement,NA,NA,ㄷ.ㄹ아난거.
241.6101266,243.3447897,1.734663184,long,hyj,hyj,wh_q,NA,그거 탁허민 어떵 헨에 돌아나시?,NA
244.0147092,244.8067512,0.792041999,mid,hgs,hgs,answer,"모르지 이제 다 된 거 이니가, 그거!",NA,NA
244.8067512,245.9402723,1.133521184,mid,overlap,NA,NA,"모르지 이제 다 된 거 이니가, 그거!",으이으.,NA
247.3388523,248.2921483,0.953296059,mid,overlap,NA,NA,전기.,약 기운이 다 되-,NA
248.9229363,250.2177115,1.294775244,mid,overlap,NA,NA,전기 양이 다 된 셍인게.,NA,NA
250.492792,251.2374063,0.744614334,mid,suk-repairs,NA,NA,NA,"으이그, 그 아까 그 틀림 엇이 모긴디, 나 나야 천장에,",겅 겅 헌 셍 인게.
251.2374063,253.2848008,2.047394518,long,hyj,hyj,statement,NA,"으이그, 그 아까 그 틀림 엇이 모긴디, 나 나야 천장에,",겅 겅 헌 셍 인게.
253.2848008,255.9454928,2.660691985,long,overlap,NA,NA,거 전기약 그거 하나 들어감ㅅ어 두개 들어감ㅅ어?,"으이그, 그 아까 그 틀림 엇이 모긴디, 나 나야 천장에,",NA
256.5758518,256.8082473,0.232395557,short,suk,suk,repeat_q,NA,NA,에?
257.4580063,258.9567206,1.498714202,long,overlap,NA,NA,"하나 들어감이엔, 두 개 들어감이엔?",전기 두겔거라.,NA
259.089518,260.864,1.774481988,long,suk-repairs,NA,NA,"하나 들어감이엔, 두 개 들어감이엔?",NA,두 두겔거
262.0616445,262.7303746,0.668730071,mid,suk,suk,answer,NA,NA,"두 갤거우다, 두 개."
262.9058569,263.2757927,0.369935784,short,suk,suk,repeat,NA,NA,"두 갤거우다, 두 개."
264.4066744,265.1939736,0.787299233,mid,hyj,hyj,yn_q,NA,약 다 된거라?,NA
265.2461441,265.5591667,0.313022586,short,hgs,NA,NA,전- 모르주게 나는!,약 다 된거라?,NA
265.6445365,266.6737168,1.029180322,mid,hgs,hgs,answer,전- 모르주게 나는!,NA,NA
267.2713054,267.6602122,0.38890685,short,suk,suk,other,NA,NA,"겅허난 원만허믄, 무시거 죽이지도 안헨디 모기는 ㅇ..ㄱ아그넹아,"
268.0396335,268.679907,0.640273472,short,suk,suk,opinion,NA,NA,"겅허난 원만허믄, 무시거 죽이지도 안헨디 모기는 ㅇ..ㄱ아그넹아,"
268.9415963,271.3841211,2.442524728,long,suk,suk,opinion,NA,NA,"겅허난 원만허믄, 무시거 죽이지도 안헨디 모기는 ㅇ..ㄱ아그넹아,"
272.9203482,276.4205098,3.500161648,long,overlap,NA,NA,NA,"보라게 니 지레 큰큰헌 지레에도 기냥 거 못 잡아그네 기냐, 저거 그거 머 저거?",NA
276.619706,277.473404,0.853697963,mid,hyj,hyj,wh_q,NA,"보라게 니 지레 큰큰헌 지레에도 기냥 거 못 잡아그네 기냐, 저거 그거 머 저거?",NA
278.0140794,278.3575543,0.343474978,short,suk,suk,answer,NA,그,어디 저디 잇인게.
278.3575543,278.6990335,0.341479185,short,overlap,suk,answer,NA,그,어디 저디 잇인게.
279.1875385,279.8657541,0.678215604,mid,hyj,hyj,affirm,NA,그 모긴게.,NA
280.4064294,281,0.593570557,short,suk,suk,tag_q,NA,NA,저디 아니꽈?
281.7684406,283.5090359,1.740595291,long,hyj,hyj,opinion,NA,"약 뿌리는거 잇이민 약이라두 탁 뿌려 불거- 아이구 여기 그 아, 어, 여,",NA
283.6608044,285.3919142,1.731109758,long,hyj,hyj,directive,NA,"약 뿌리는거 잇이민 약이라두 탁 뿌려 불거- 아이구 여기 그 아, 어, 여,",NA
285.5816248,286.1317857,0.550160909,short,suk,suk,yn_q,NA,NA,또 간?
286.3057875,286.7942924,0.488504946,short,hyj,hyj,neg,NA,"엉 여 그 잇어, 잇어.",NA
286.8654339,287.4393087,0.573874742,short,hyj,hyj,answer,NA,"엉 여 그 잇어, 잇어.",NA
290.9059493,291.3090844,0.403135149,short,suk,suk,self_talk,됨샤?,NA,이런!
291.3090844,291.8,0.490915594,short,hgs,hgs,yn_q,됨샤?,NA,NA
292.4388072,294.7248207,2.286013434,long,overlap,NA,NA,그것이 안되는 셍인게!,안부ㄸ엄서!,안 된셍이어.
294.8149332,295.6638884,0.848955197,mid,overlap,NA,NA,NA,안부ㄸ엄서! 약 엇어.,안 된셍이어.
296.7864435,298.6835501,1.897106584,long,hyj,hyj,statement,NA,소리나멍 탁 돌라부ㄸ은덴 허는디.,NA
299.2669103,299.6131323,0.346221952,short,suk,suk,other,NA,NA,"겅허난 원렌 경허는디,"
299.887891,300.3005117,0.412620682,short,hyj,hyj,backchannel,NA,으응.,"겅허난 원렌 경허는디,"
300.4152418,301.3244121,0.90917037,mid,suk,suk,statement,NA,NA,"겅허난 원렌 경허는디,"
301.35915,302.3638057,1.004655671,mid,hyj,hyj,yn_q,NA,ㅍ.리체도 엇어?,"겅허난 원렌 경허는디,"
303.2786473,303.8,0.521352652,short,hgs,hgs,backchannel_q,ㅍ.리체?,NA,NA
303.994,304.3505126,0.356512569,short,hgs,NA,NA,"우리는 ㅍ.리도 죽이지 안행 고만히 잇인디,",NA,NA
304.3505126,306.3756738,2.025161279,long,overlap,NA,NA,"우리는 ㅍ.리도 죽이지 안행 고만히 잇인디,",NA,아이 이거 체얌은 잘ㄷ- 잘도 잘도 됩디다.
306.7645807,307.2077613,0.443180572,short,suk-repairs,NA,NA,NA,NA,아이 이거 체얌은 잘ㄷ- 잘도 잘도 됩디다.
307.3453015,308.208485,0.863183496,mid,overlap,NA,NA,NA,응...,아이 이거 체얌은 잘ㄷ- 잘도 잘도 됩디다.
308.5689352,309.4653181,0.896382861,mid,suk,suk,statement,NA,NA,아이 이거 체얌은 잘ㄷ- 잘도 잘도 됩디다.
309.6550288,311.3206842,1.665655437,long,overlap,NA,NA,"그거 저, 약 노민 되는거?",에이그...,NA
311.6763917,311.9182728,0.24188109,short,suk,suk,backchannel,NA,NA,음.
